# gap_worklist.txt - trace-driven-coverage gap-set (GENERATED)
#
# Regenerate: scripts/pcsx-redux/build_gap_worklist.py
# Definition: dumped AND NOT documented AND NOT ignored (port catalog).
# Each row = a not-yet-understood function entry to arm an exec BP on.
#
# A hit in a segment's trace.csv = this function ran in the opening =
# a documentation target. SCUS addresses (0x800xxxxx) are unambiguous;
# overlay addresses (0x801c..0x8020) are VA-aliased - attribute them with
# the trace CSV's first_mode column + the dump_stem here.
#
# Counts: 762 total (161 scus, 601 overlay).
#
# Columns: <0x-addr>  <dump_stem>   # bucket=<b> refs=<n>
0x801d516c  overlay_0897_801d516c   # bucket=overlay refs=4
0x801d5594  overlay_0897_801d5594   # bucket=overlay refs=0
0x801d55c8  overlay_0897_801d55c8   # bucket=overlay refs=1
0x801d567c  overlay_0897_801d567c   # bucket=overlay refs=2
0x801d56d4  overlay_0897_801d56d4   # bucket=overlay refs=2
0x801d56e4  overlay_debug_menu_801d56e4   # bucket=overlay refs=8
0x801d56fc  overlay_shop_save_801d56fc   # bucket=overlay refs=3
0x801d5778  overlay_magic_level_up_801d5778   # bucket=overlay refs=11
0x801d5780  overlay_cutscene_dialogue_801d5780   # bucket=overlay refs=4
0x801d57e8  overlay_magic_capture_801d57e8   # bucket=overlay refs=23
0x801d5944  overlay_shop_save_801d5944   # bucket=overlay refs=3
0x801d59c8  overlay_0897_801d59c8   # bucket=overlay refs=2
0x801d59d4  overlay_baka_fighter_801d59d4   # bucket=overlay refs=10
0x801d5a24  overlay_0897_801d5a24   # bucket=overlay refs=26
0x801d5a68  overlay_cutscene_mapview_801d5a68   # bucket=overlay refs=4
0x801d5ae0  overlay_cutscene_dialogue_801d5ae0   # bucket=overlay refs=7
0x801d5c08  overlay_cutscene_mapview_801d5c08   # bucket=overlay refs=3
0x801d5c2c  overlay_fishing_801d5c2c   # bucket=overlay refs=3
0x801d5c58  overlay_0897_801d5c58   # bucket=overlay refs=2
